algorithm,ticks,time_sec_equiv,avg_dist_px,wall_hits,bfs_calls,caught
BFS,200,10.00,279.44,13,119,true
BFS,187,9.35,275.64,3,97,true
BFS,214,10.70,259.72,49,191,true
BFS,358,17.90,318.51,62,288,true
BFS,283,14.15,323.66,14,157,true
BFS,689,34.45,342.27,50,408,true
BFS,330,16.50,335.66,17,183,true
BFS,345,17.25,274.28,11,187,true
BFS,199,9.95,280.17,11,110,true
BFS,406,20.30,300.08,105,385,true
BFS,283,14.15,333.81,12,153,true
BFS,705,35.25,306.97,47,433,true
BFS,283,14.15,349.16,13,155,true
BFS,345,17.25,277.77,11,184,true
BFS,406,20.30,311.94,104,383,true
BFS,806,40.30,302.89,57,523,true
BFS,215,10.75,284.76,12,122,true
BFS,225,11.25,284.27,7,122,true
BFS,406,20.30,298.31,88,353,true
BFS,331,16.55,331.17,15,183,true
Random,6000,300.00,379.05,1520,0,false
Random,6000,300.00,451.89,1541,0,false
Random,6000,300.00,452.47,1579,0,false
Random,6000,300.00,464.04,1571,0,false
Random,6000,300.00,441.28,1528,0,false
Random,6000,300.00,411.86,1540,0,false
Random,6000,300.00,449.19,1579,0,false
Random,6000,300.00,409.74,1649,0,false
Random,3422,171.10,358.49,930,0,true
Random,6000,300.00,539.32,1561,0,false
Random,6000,300.00,413.75,1606,0,false
Random,6000,300.00,469.02,1541,0,false
Random,5122,256.10,433.24,1330,0,true
Random,6000,300.00,434.23,1511,0,false
Random,6000,300.00,476.80,1520,0,false
Random,5255,262.75,456.56,1344,0,true
Random,6000,300.00,483.51,1544,0,false
Random,6000,300.00,442.88,1724,0,false
Random,5257,262.85,443.81,1377,0,true
Random,6000,300.00,519.90,1573,0,false
Random,6000,300.00,394.97,1520,0,0,false
Random,6000,300.00,425.14,1472,0,0,false
Random,6000,300.00,382.26,1592,0,0,false
Random,6000,300.00,391.69,1654,0,0,false
Random,3281,164.05,396.82,864,0,0,true
Random,4801,240.05,375.81,1355,0,0,true
Random,3576,178.80,389.64,884,0,0,true
Random,6000,300.00,447.57,1608,0,0,false
Random,5267,263.35,406.23,1402,0,0,true
Random,6000,300.00,391.99,1637,0,0,false
Random,4916,245.80,417.33,1323,0,0,true
Random,6000,300.00,465.88,1590,0,0,false
Random,6000,300.00,477.99,1633,0,0,false
Random,6000,300.00,393.50,1552,0,0,false
Random,6000,300.00,490.36,1480,0,0,false
Random,6000,300.00,463.55,1555,0,0,false
Random,6000,300.00,434.82,1630,0,0,false
Random,6000,300.00,434.59,1605,0,0,false
Random,844,42.20,343.56,202,0,0,true
Random,3764,188.20,367.49,993,0,0,true
BFS,406,20.30,319.70,98,375,16985,true
BFS,283,14.15,319.36,9,149,14290,true
BFS,380,19.00,338.14,17,206,23271,true
BFS,406,20.30,325.52,36,257,21604,true
BFS,406,20.30,311.74,106,384,17590,true
BFS,406,20.30,303.06,100,377,18284,true
BFS,342,17.10,306.69,64,282,16406,true
BFS,406,20.30,306.39,100,379,15718,true
BFS,406,20.30,313.99,35,257,20901,true
BFS,406,20.30,300.19,101,382,18853,true
BFS,283,14.15,326.81,14,158,15331,true
BFS,210,10.50,282.97,12,120,9917,true
BFS,199,9.95,277.90,11,111,9492,true
BFS,406,20.30,306.82,102,382,19530,true
BFS,283,14.15,281.06,9,151,12935,true
BFS,406,20.30,305.76,106,386,18709,true
BFS,226,11.30,290.14,7,122,9673,true
BFS,315,15.75,337.18,11,169,16883,true
BFS,153,7.65,261.78,12,90,10453,true
BFS,406,20.30,338.38,35,257,22003,true
A*,422,21.10,305.33,65,324,10375,true
A*,198,9.90,280.61,2,98,2981,true
A*,198,9.90,281.18,2,98,2799,true
A*,406,20.30,295.48,108,388,12519,true
A*,406,20.30,327.40,121,416,12355,true
A*,219,10.95,318.14,8,116,6585,true
A*,214,10.70,282.70,3,107,3369,true
A*,326,16.30,294.40,64,274,6623,true
A*,169,8.45,259.99,4,89,5065,true
A*,406,20.30,311.51,103,384,9539,true
A*,406,20.30,302.17,99,378,8310,true
A*,198,9.90,282.62,13,115,3514,true
A*,406,20.30,308.80,100,377,10389,true
A*,406,20.30,320.37,97,373,9230,true
A*,169,8.45,268.63,4,88,4669,true
A*,198,9.90,284.17,4,100,3067,true
A*,198,9.90,281.14,1,97,2854,true
A*,406,20.30,295.35,105,386,10138,true
A*,198,9.90,281.06,12,114,3494,true
A*,422,21.10,311.55,107,395,9777,true
