algorithm,time_sec,avg_distance_px,wall_hits,direction_changes,bfs_calls
BFS,37.85,330.80,43,635,185
BFS,28.88,290.15,29,776,155
BFS,14.95,223.44,6,322,152
BFS,36.22,247.68,45,648,278
Random,76.07,296.14,142,1824,0
Random,77.80,284.07,153,1482,0
Random,63.61,315.60,102,1390,0
Random,67.85,311.35,132,1798,0
Random,87.14,294.03,151,1638,0
Random,21.08,226.96,22,617,0
Random,10.09,198.25,12,399,0
BFS,8.79,198.04,6,255,138
BFS,8.35,190.88,8,254,130
BFS,16.62,181.09,5,323,152
BFS,84.99,284.37,23,1303,460
BFS,51.60,299.69,34,675,226
BFS,123.35,282.10,43,1722,674
BFS,30.65,265.00,16,527,141
BFS,31.94,280.22,11,680,149
Random,58.62,270.90,37,1433,0
Random,54.95,264.40,37,1365,0
Random,173.54,287.07,203,3619,0
Random,79.31,256.18,70,1417,0
Random,56.52,259.77,34,928,0
Random,47.88,234.82,42,1150,0
Random,87.23,278.56,63,2468,0
Random,105.29,296.03,72,1878,0
